Pixel    Wavelength
49.5076    5707.1033
174.98    5719.6227
180.662    5720.1828
222.961    5724.4638
233.693    5725.3885
311.067    5732.975
342.161    5736.0297
402.077    5742.0838
473.172    5748.7412
480.334    5749.3883
517.891    5753.0265
596.847    5760.5508
628.639    5763.529
677.899    5768.1812
739.736    5773.9463
909.702    5789.6451
940.271    5792.4304
980.273    5796.0683
1032.85    5800.8297
1069.89    5804.1412
1168.75    5812.9725
1196.7    5815.4219
1231.21    5818.4495
1280.47    5822.5217
1373.4    5830.8272
1391.31    5832.3705
1413.4    5834.2633
1468.42    5838.9502
1479.26    5839.8514
1488.12    5840.6404
1525.83    5843.8069
1550.8    5845.9188
1630.9    5852.6806
1640.85    5853.4745
1648.81    5854.1207
1704.13    5858.7543
1715.07    5859.6687
1723.73    5860.3103
1765.02    5863.7184
1803.13    5866.8119
1822.43    5868.3745
1840.84    5869.8507
1849.2    5870.5526
1856.96    5871.1828
1874.87    5872.6028
1904.32    5874.9865
2000.63    5882.6242
2013.37    5883.6247
2039.93    5885.7016
2050.38    5886.5314
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
